Date,Category,Sales,Quantity,Profit,Region
1/1/2023,Electronics,1149.0142459033698,11,383.6642446,North
1/1/2023,Clothing,958.5207096486446,7,224.05404895981437,East
1/1/2023,Home Goods,1473.7638446522174,2,466.59309040026267,South
1/1/2023,Sports,1230.2304187458726,6,123.31046030259608,West
1/1/2023,NaN?,828.5859502737576,12,88.59135543794339,East
1/2/2023,Electronics,722.7751486758685,10,82.39614936777052,West
1/2/2023,Clothing,788.9968594877778,15,225.27107174327347,West
1/2/2023,Home Goods,358.11380317712815,3,128.1983391863219,East
1/2/2023,Sports,819.9238449682265,2,250.29807668245093,East
1/2/2023,Books,1284.2319463139916,7,363.4363531521607,West
1/3/2023,,1246.7634736309567,2,283.6969918376891,South
1/3/2023,Clothing,633.7469050086934,10,171.30818821937146,North
1/3/2023,Home Goods,1221.539973998623,8,331.2000326987152,West
1/3/2023,Sports,0,NaN,371.52657130406993,NaN
1/3/2023,Books,1232.1101250501047,13,175.30126184188364,East
1/4/2023,,839,13,102.6102505999337,East
1/4/2023,Clothing,437.29696833804485,8,44.45413835689217,East
1/4/2023,Home Goods,589.9653583341108,19,184.10293967965828,East
1/4/2023,,1142.8127762280915,10,237.17904194890085,North
1/4/2023,Books,1391.0983805195751,7,493.8560247347233,West
1/5/2023,Electronics,856,5,273.0418627671485,West
1/5/2023,Clothing,944.3023070008549,3,228.20432366928492,North
1/5/2023,Home Goods,719.8711477263851,14,178.62787558175916,North
1/5/2023,Sports,1235.2624562961814,15,281.9638562,South
1/5/2023,Books,585.7848927183243,7,142.1178978282982,North
1/6/2023,Electronics,916,4,340.90921960487753,East
1/6/2023,Clothing,1261.8115293971553,4,483.09220469871605,East
1/6/2023,Home Goods,1686.1677948871875,19,250.17062221410632,NaN
1/6/2023,Sports,559.9096344461423,6,132.67639478594808,West
1/6/2023,Books,1267.7888414518486,12,285.1928834243073,South
1/7/2023,Electronics,1411.558640064933,7,525.1683205226515,North
1/7/2023,Clothing,1052.6659881864498,13,377.0851418143964,East
1/7/2023,Home Goods,1038.1036718115395,5,319.4564836525556,South
1/7/2023,Sports,625,NaN,108.3024458690383,East
1/7/2023,Books,1064.4816490284265,9,235.4110228943994,South
1/8/2023,Electronics,393.30552004127946,17,69.29045218131121,West
1/8/2023,Clothing,994.4347586465079,17,143.62231299872425,West
1/8/2023,Home Goods,497.94861340293306,17,89.64783218,South
1/8/2023,Sports,802.2453092690566,5,163.27406795481338,North
1/8/2023,Books,1001.1811913294208,19,304.5709676125519,North
1/9/2023,Electronics,1101.9462892559932,0,136.92343580350118,West
1/9/2023,Clothing,997.7859550166281,17,317.7598089591847,West
1/9/2023,Null,1106.847949116814,11,381.78457825162366,West
1/9/2023,Sports,993.4357376983705,NaN,144.26203211185197,East
1/9/2023,Books,1511.9814861035386,19,473.7716266795951,East
1/10/2023,Electronics,NaN,19,258.22066110469046,East
1/10/2023,Clothing,1160.9008097146195,7,442.32526169399455,North
1/10/2023,Home Goods,725.5927206216168,11,146.80185053347503,North
1/10/2023,Sports,1061.695040202001,NaN,188.32610806224366,West
1/10/2023,Books,566.9549944911284,16,195.69396185304532,North
1/11/2023,Electronics,486.8411264424907,1,62.281989550310364,West
1/11/2023,Clothing,1035.6935475687956,5,383.33650633242723,East
1/11/2023,Home Goods,819.5808263284821,19,260.45188918274573,East
1/11/2023,Sports,746.0156929405609,1,218.29127431272414,East
1/11/2023,Books,1256.1993359484704,16,163.86047902463994,East
1/12/2023,Electronics,1536.5781571976388,18,227.78605751265687,South
1/12/2023,Clothing,136.16293195828723,9,20.802642658843684,West
1/12/2023,Home Goods,759.0467004962057,1,188.37118852136024,West
1/12/2023,Sports,1230.993207979238,7,389.3409658,West
1/12/2023,Books,0,1,362.74746579124576,East
